Query Number,x1,x2,f(X)
-1,0.6657995800131589,0.12396912767534907,0.5389961189269181
-2,0.8777909889953304,0.7786275008473289,0.42058623962798264
-3,0.14269907423594608,0.34900513057320015,-0.06562362443733738
-4,0.8452754286767249,0.7111202665952655,0.293992912410866
-5,0.45464714105124415,0.2904551797740609,0.2149645101004509
-6,0.5777128444074784,0.7719731841154063,0.023105549798190586
-7,0.4381660616117107,0.6850182567997548,0.24461934400448035
-8,0.34174959302885033,0.028697719822277867,0.0387490151561584
-9,0.33864815688701766,0.21386724563864368,-0.013857618149729824
-10,0.7026365569244406,0.9265641975455574,0.6112052157614438
1,0.714022563,0.144772531,0.597472446306099
2,0.742751987079384,0.883974781337327,0.376898745965572
3,0.671032198675634,1.0,0.428581720970266
4,0.693657329560127,0.387796793163461,0.618115021297223
5,0.950533712613288,0.880113144198796,-0.004621971838607
6,0.707123062636893,0.569087393419978,0.529657108588525
7,0.694696632314433,0.0,0.624946727936094
8,0.695342070757102,0.0212062580520909,0.808474313940969
9,0.694927886258028,0.0,0.467889779213492
10,0.697211540460565,0.0766258782514379,
11,,,
12,,,
