Query Number,x1,x2,x3,x4,x5,f(X)
-1,0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.056401310518258585,-0.7142649478202404
-2,0.24238434723790758,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,-1.2099552446764819
-3,0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,-1.6721999396105658
-4,0.770620241725545,0.11440374416322774,0.0467799318531783,0.6483242845395736,0.2735490526883131,-1.5360577085694833
-5,0.6188122987341569,0.33180213718420826,0.18728786777392725,0.756238474019041,0.3288347983365967,-0.8292365522578722
-6,0.7849580941321159,0.9106823491056887,0.7081201035127033,0.9592254289504146,0.004911495864404647,-1.2470489267904978
-7,0.14511078573766278,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.23627199091209328,-1.2337863805718483
-8,0.9450690681186655,0.28845905059517574,0.9788057635601997,0.9616555869902994,0.5980159363909763,-1.6943434420704928
-9,0.12572015503019873,0.8627246921598651,0.028544332231059788,0.24660527193052817,0.7512062409044311,-2.5711696316081234
-10,0.7575943553544202,0.35583141491553005,0.01652289968556364,0.43420720498662724,0.1124330443582503,-1.309116352823696
-11,0.5367969034860786,0.30878090723949325,0.41187928506492233,0.388225176718074,0.5225283039122706,-1.1447848512705794
-12,0.9577396688833609,0.23566857232470817,0.09914584955722228,0.1568059338564619,0.07131737310621111,-1.9126771431925136
-13,0.6293078953337721,0.803483678101385,0.8114084389735914,0.045613185779449616,0.11062446198967957,-1.622838951777173
-14,0.021735307663796388,0.42808424031907244,0.8359394371193622,0.48948865944643416,0.511081734720247,-1.3566821093823407
-15,0.4393442638884286,0.6989238329035616,0.4268202222118266,0.10947608505219697,0.8778884681100685,-2.018425399374782
-16,0.2589055738489062,0.7936777082611537,0.6421139049230902,0.19667346401384578,0.593103176750458,-1.7025578405650035
-17,0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,-1.2942469649550403
-18,0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.010325990675527863,-0.9357565553342914
-19,0.9217761980413874,0.9318712161635005,0.41487636976457365,0.5950572655783101,0.7356256864317131,-2.1557677641786004
-20,0.12667891706137568,0.29147030149847064,0.06452847667069161,0.6805146028541535,0.892819191058788,-1.7468820870493065
1,0.285132261393364,0.0,0.597783170717147,1.0,0.0,-0.821971166279989
2,0.35840106518858,0.0,1.0,1.0,1.0,-1.86163608470941
3,0.307293914419835,0.521421987768835,0.0,1.0,0.0,-1.25387069253736
4,0.495521040457549,0.372872702835265,0.804110217918921,1.0,0.131049467948144,-0.512121047657676
5,0.48706930601069,0.279669114071052,0.614451462173591,0.677275612586723,0.0487553968679511,-0.353025876440187
6,0.527209295678406,0.294988024664048,0.539966464865023,0.848963436966426,0.0,-0.44067637326828
7,0.467610526114803,0.267113234270787,0.839979256181878,0.688284183195848,0.0,-0.503588411139393
8,0.479642957996697,0.326597678099336,0.587351355247402,0.753907685449991,0.180755184425042,-0.272387516817372
9,0.473288716121299,0.273831777255985,0.593429295765529,0.762037903886856,0.191095323422066,-0.345146474414031
10,0.457387261680119,0.430817749047766,0.577587755113945,0.730808547799292,0.16413369296096,
11,,,,,,
