Query Number,x1,x2,f(X)
-1,0.31940388883889725,0.7629593742689353,1.3226770395454077e-79
-2,0.5743292145098291,0.879898104984359,1.0330782375230975e-46
-3,0.7310236309563586,0.7329998764152272,7.710875114502849e-16
-4,0.8403534169072556,0.26473161399676703,3.341771007676023e-124
-5,0.6501140597987644,0.6815263520602101,-0.0036060626443634764
-6,0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54
-7,0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91
-8,0.6834181688515067,0.8610574643936101,2.5350011535584046e-40
-9,0.08250725182080587,0.403487506426324,3.6067711901420254e-81
-10,0.8838898288181171,0.5822539743824439,6.229856468168659e-48
1,0.732787431,0.733181421,3.58972387143704e-16
2,0.5,0.45,-5.84715525405675e-06
3,0.716103804921282,0.731079809110837,2.49176578380549e-13
4,0.7017491549943,0.728584304421511,2.66967348318954e-11
5,0.697745264617129,0.727874232093504,8.20219381399194e-11
6,0.691082734894596,0.726419936052851,4.83632400342928e-10
7,0.682311043963275,0.724407116980772,3.39319896552189e-09
8,0.678778645239989,0.723449019683922,6.23179291422138e-09
9,0.668637733919457,0.720202756503013,6.34917921112652e-09
10,0.678030956313475,0.73817923173427,2.24959642294712e-11
11,0.671026572885775,0.721207964257215,
12,,,
