Query Number,x1,x2,x3,f(X)
-1,0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897
-2,0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445
-3,0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324
-4,0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584
-5,0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157
-6,0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658
-7,0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011
-8,0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991
-9,0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055
-10,0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398
-11,0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916
-12,0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178
-13,0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696
-14,0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486
-15,0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648
1,1.0,0.0,0.757704906498817,-0.182610505716444
2,1.0,1.0,0.416120081625076,-0.0578075137765727
3,0.0,0.0,0.013597531358536,-0.143717845796831
4,1.0,0.0,0.506474564257356,-0.0739945266905303
5,1.0,0.0993751831543332,0.373510784555315,-0.0792495609546063
6,1.0,1.0,0.0829436685876259,-0.0751585806784
7,0.337745692029753,0.893895587564816,0.363324502463751,-0.0496619780800357
8,0.365025200905885,0.786203805528622,0.0706508640498082,-0.0459752989333984
9,0.540196981582488,0.542676508024533,0.33033871053473,-0.0410548692742152
10,0.496945789283213,0.512615433756974,0.417756573750069,-0.00531363640487771
11,0.506579566199271,0.543857353476295,0.427616170384534,
