Query Number,x1,x2,x3,x4,f(X)
-1,0.8969810543559719,0.7256279703482243,0.17540430890241154,0.7016943693717497,-22.108287785435817
-2,0.8893563957199797,0.49958785537696504,0.5392688577643431,0.5087834390633533,-14.601396631953161
-3,0.25094624275233424,0.03369313054735357,0.14538002473552147,0.49493242056497855,-11.699932463834426
-4,0.34696206091432413,0.006250400244917853,0.7605636064368956,0.6130235572343078,-16.053765110568296
-5,0.1248711812207095,0.12977019306510673,0.38440048300130336,0.28707610106061277,-10.069633426012889
-6,0.8013027073487429,0.5002310937156627,0.7066445599562093,0.19510284101191622,-15.487082537755288
-7,0.2477082618994807,0.060445427321989764,0.04218634513719777,0.44132425054403157,-12.68168497681565
-8,0.7467022420948025,0.7570915044306501,0.3693530595537917,0.20656628103766395,-16.02639976898352
-9,0.400665027194423,0.07257425107127335,0.8867682538447798,0.24384228978922717,-17.049234647535723
-10,0.6260705961944015,0.5867512592598441,0.4388057821707446,0.7788576937904925,-12.741765988316185
-11,0.9571352930644363,0.5976443830130996,0.7661138515714809,0.7762099053238541,-27.316396356142608
-12,0.7328124260168783,0.14524997897358805,0.47681271763115285,0.13336573404584584,-13.527648872277506
-13,0.6551154792459779,0.07239182690482326,0.6871517458198465,0.08151656419033015,-16.679115197479913
-14,0.21973442915914299,0.8320313351480582,0.4828641624528299,0.08256923057524457,-16.50715856428234
-15,0.48859418950356637,0.2119650955674609,0.9391779073552307,0.37619172590371996,-17.81799933882949
-16,0.16713048556058774,0.8765545582566224,0.21723954496692865,0.9598009845510594,-26.561820829779602
-17,0.21691118811255716,0.16608582897898938,0.24137225639083593,0.7700624756956358,-12.758324216781741
-18,0.38748783671725395,0.8045322581845359,0.7517954827501873,0.7238274385488449,-19.441557624451722
-19,0.9856218929694016,0.6669326785131365,0.15678328252958762,0.8565348006982442,-28.90327367383377
-20,0.03782482853334601,0.6648533464557935,0.1619821750221554,0.2539237802262948,-13.702746938161251
-21,0.6834863848727072,0.9027701030814779,0.3354198256002018,0.9994825612275692,-29.427091401989347
-22,0.1703473054043091,0.7569590826298485,0.2765204860603998,0.5312314975365982,-11.565741989583191
-23,0.8596569193380881,0.9195923219593923,0.2061387278543615,0.09779683100452252,-26.857786437773637
-24,0.28213836819277516,0.5059869120612994,0.5305308425014074,0.09630162301775336,-7.9667753510303925
-25,0.3260757847990565,0.47236690365870715,0.45319199560129586,0.10588733843025877,-6.702089254839066
-26,0.9483893624466845,0.8945130079782345,0.8516378174441099,0.5521962863978067,-32.625660215962455
-27,0.6649553897315406,0.04656627674464964,0.11677746938768019,0.7937177796214518,-19.98949792679556
-28,0.5777656143780968,0.4287717415443063,0.4258258674882194,0.24900741466191134,-4.025542281908162
-29,0.7386130139763387,0.48210263436120226,0.7093664425017454,0.503970013890856,-13.122782331852594
-30,0.854810796763389,0.4939646196379057,0.7353099749980351,0.808092012668331,-23.139428397634813
1,0.0,0.0,1.0,1.0,-40.3484895967125
2,0.381884391011495,0.40048806048405,0.373677976379499,0.468096950835934,-1.20567449112958
3,0.472174553966914,0.457354040322436,0.215344149192097,0.422766391601334,-3.75432518421566
4,0.411133878111303,0.481364478139513,0.454309531597908,0.406030510219036,-1.40254027362113
5,0.449709418302212,0.364131617475027,0.435649666604861,0.424114924765337,0.103552646669357
6,0.434670179856647,0.317896428523279,0.467131532753985,0.405862971250068,-1.09920462321995
7,0.527185124986809,0.382730937903172,0.412058451995445,0.482293267774406,-2.63618829619822
8,0.404737348760453,0.385157510217165,0.41094847654911,0.357610483971366,0.533889677651672
9,0.480234024076432,0.386779336345868,0.415621598085484,0.422059698228158,-0.936715034864643
10,0.434948158631155,0.378966859485931,0.465803258692405,0.526771906780067,-2.16429394383712
11,0.181986670537108,0.38421805087368,0.499369874072579,0.455564481304383,
