Query Number,x1,x2,x3,x4,f(X)
-1,0.1914470844571281,0.03819337135150802,0.6074178108720669,0.4145841369758819,64.443439863301
-2,0.7586529492430261,0.5365177380716337,0.6560003817255494,0.36034155302921755,18.30137959857266
-3,0.43834987265310876,0.8043397048222797,0.21024526639869967,0.15129481609432094,0.1129397953712203
-4,0.7060508340594309,0.5341919611519633,0.2642433451718953,0.48208754903709394,4.210898128938665
-5,0.8364779930351233,0.19360964686178006,0.6638926969585176,0.7856488828898288,258.3705254462536
-6,0.6834322498676915,0.11866264178849073,0.8290459096967396,0.5675766059352313,78.43438888779464
-7,0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,57.57153693261287
-8,0.35235626946595233,0.32224153197183136,0.11697936758857319,0.4731125215557709,109.5718755614928
-9,0.15378570594381347,0.7293816904129607,0.4225984366784806,0.4430741656488165,8.847991759070865
-10,0.46344226738528294,0.630024510146729,0.10790645581865044,0.957643898670113,233.22361017104996
-11,0.6774911484129013,0.3585095065455117,0.47959222446529515,0.07288048110014078,24.423088313942344
-12,0.5839734124984879,0.1472426461525712,0.34809746209352754,0.4286146510285499,64.42014681963983
-13,0.3068887187315784,0.3168781265532129,0.6226344812966896,0.09539905810631732,63.47671578508436
-14,0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,79.72912992694343
-15,0.4389333758453766,0.7740917616539319,0.37816708638741714,0.933696206815422,355.8068177560159
-16,0.22418902330288348,0.8464804904862864,0.8794841797090803,0.8785156842249731,1088.8596181962705
-17,0.7252617231526987,0.47987048629522777,0.08894684260658514,0.7597602201100938,28.866751637393822
-18,0.35548160950061236,0.639619366711706,0.41761767886414536,0.12260383967133603,45.181570346703786
-19,0.11987922582428101,0.8625403059525095,0.6433313263318788,0.8498038287021323,431.6127567592104
-20,0.12688467007850324,0.15342962125134962,0.770162187580243,0.19051810509577394,9.972331894593824
1,0.257096385587263,0.915878528550171,1.0,1.0,3486.87701870642
2,0.0688294279786485,1.0,1.0,1.0,4440.7345118934
3,0.0,1.0,1.0,1.0,4440.5225
4,0.0283191213741659,0.863402556248803,1.0,1.0,3029.2624131587
5,0.860476847087562,0.997035447663481,0.885164797365973,0.955335348682371,4429.64060179954
6,0.983997544143511,1.0,0.988711290670627,1.0,8152.3582240821
7,1.0,1.0,1.0,1.0,8662.4825
8,1.0,1.0,1.0,0.816851271636303,6174.13261867207
9,1.0,1.0,0.791637423612151,1.0,5959.0350954936
10,1.0,0.826978944315582,1.0,1.0,
11,,,,,
12,,,,,
